PG.UniProtIds	NCD1	NCD2	NCD3	NCD4	HFD1	HFD2	HFD3	HFD4	HFDLEA1	HFDLEA2	HFDLEA3	HFDLEA4
O88829	58.50942993	169.7214355	61.03186035	127.8231125	201.2435455	101.2189865	127.1107254	110.7586212	103.8044434	185.5813141	151.5487976	137.9476318
O88833	820.0933838	970.6112061	1292.89502	1224.570313	1651.415283	1658.950928	2059.963623	1963.074585	1741.978516	2156.010498	2445.395508	2244.993164
O88844	29997.9375	26873.27539	27174.44727	30153.14258	27872.41797	25349.38086	27779.28906	24738.48438	28691.28711	28878.81641	29178.22852	27936.0625
O88851	745.7289429	549.5427246	609.6010742	540.7282715	897.5957031	811.555542	740.758667	752.145752	943.7214966	872.7409668	949.8071899	751.1790161
O88876	126.8033295	151.2826233	123.8547668	167.6720734	210.9992065	130.3769531	164.7786865	247.9139557	194.2485657	176.1420898	199.7478638	169.054657
O88908	491.1809082	659.1229858	625.1122437	589.6245117	799.1508179	680.6546631	601.6964111	691.0577393	649.4494019	714.7271118	896.1858521	364.1098938
O88947	108.2453384	181.9179535	210.6525116	216.4857788	200.7907867	134.1201172	144.2211151	126.0941849	229.119751	115.105835	80.72983551	363.0509033
O88952	415.6042175	423.5756836	277.8239441	427.8564453	386.9243469	407.6784668	518.8884277	372.6152954	432.0935364	481.3978271	473.025116	461.6999512
O88958	126.3337097	174.4534149	304.7998352	76.18436432	153.769928	146.0501404	125.7864838	102.0983124	184.9035339	189.2387085	147.0990906	155.0445557
O88962	559.6739502	488.6083069	633.7836304	746.6477661	581.8250122	804.0795898	976.0249634	718.8647461	1086.398682	976.979248	1027.437744	938.0302734
O88967	271.4587402	286.1384583	273.6078796	221.2806702	230.0250549	285.6289673	280.3022766	207.4098053	122.8297806	227.2538757	171.2491455	206.4711609
O88983	187.1164551	200.3680573	301.2463684	182.6240692	122.3640213	211.9599762	197.8486786	288.2947083	188.1218872	190.76651	175.3221283	214.1523743
O88986	3183.085938	2371.314453	2851.987061	2593.753418	1221.457886	1268.855103	1244.250244	1313.193359	1344.031494	1556.21106	1908.331665	1908.494751
O88990	0	132.9068909	65.47248077	0	0	0	0	0	0	0	0	0
